OBJECTID,TARGET_FID,CUT,REGION,PROVINCIA,COMUNA,COD_URBANO_CENSO,URBANO_CENSO,TIPO_EP,NOMBRE_EP,OBSERVACIONES,SUP_TOTAL_M2,USO,ID_TEXT,FUENTE,NOMBRE_MINVU,EXTENSION,Aplicabili,Cierres,Valor_pers,Valor_veh,Bancas_escanos,Pileta_fuente,Bebedero_agua,Juegos_agua,Juegos_infant,Escenario_explan,Maquinas_ejerc,Mesa_juegos,Pergolas_techos,Infraest_deportiva,Cancha_Skatepark,Basureros,Banos,Banos_accesibles,Luminarias,Arenero,Rutas_peatonales,Otros_mobiliarios,Estado_mobiliarios,Limpieza,RtaPeat_conect_calle,RtaPeat_conect_estacionm,RtaPeat_conect_parad,RtaPeat_superf_lisa,RtaPeat_libre_obst,RtaPeat_conect_descan,Zna_descan_escano,RtaPeat_accesible,Zona_juegos_accesib,VentaConsum_drogas,Guardias,Estratos_vegetacion,Estado_vegetacion,Fecha_encuesta,MG,VG,AU,SG,DE,CALIDAD,RANGO_CALIDAD
7746,45758,1101,DE TARAPAC�,IQUIQUE,IQUIQUE,11011,IQUIQUE,PLAZA,LAS CABRAS, ,951.4,P�BLICO,110110002,RA O FI, ,COMUNAL,Area_Verde_Habilitada,Sin_cierre_perimetral,0,0,No_hay,No_hay,No_hay,No_hay,No_hay,No_hay,No_hay,No_hay,No_hay,No_hay,No_hay,Hay_general_estado_regular,No_hay,No_hay,No_hay,No_hay,Hay_general_estado_regular,reten carabineros,Hay_general_buen_estado,Bueno,Si,No,Si,No,No,Si,No,No,No,No,Si,"Estrato_bajo_20cm_aprox,Estrato_medio_arbusto_arboles_20cm_a_1_5,Estrato_medio_alto_Arbusto_alto_arbol_bajo_1_5m_a_5m",Bueno,14-02-2019,94.00,75.00,22.50,50.00,40.00,58.38,RANGO INFERIOR
7929,46665,1101,DE TARAPAC�,IQUIQUE,IQUIQUE,11011,IQUIQUE,PLAZA, , ,"1,586.0",P�BLICO,110110004,RA O FI, ,COMUNAL,Area_Verde_Habilitada,Sin_cierre_perimetral,0,0,Hay_general_buen_estado,No_hay,No_hay,No_hay,No_hay,No_hay,Hay_general_buen_estado,No_hay,Hay_general_buen_estado,No_hay,No_hay,Hay_general_estado_regular,No_hay,No_hay,Hay_general_buen_estado,No_hay,Hay_general_buen_estado,"bazar de venta de alimentos, bebidas y confites",Hay_general_buen_estado,Bueno,Si,No,No,Si,Si,Si,No,Si,No,No,No,Estrato_bajo_20cm_aprox,Bueno,11-02-2019,98.80,25.00,60.00,100.00,63.33,63.62,RANGO INTERMEDIO
7747,45760,1101,DE TARAPAC�,IQUIQUE,IQUIQUE,11011,IQUIQUE,PLAZA,EL PESCADOR, ,995.6,P�BLICO,110110005,RA O FI, ,COMUNAL,Area_Verde_Habilitada,Sin_cierre_perimetral,0,0,No_hay,No_hay,No_hay,No_hay,No_hay,No_hay,No_hay,No_hay,No_hay,No_hay,No_hay,No_hay,No_hay,No_hay,Hay_general_buen_estado,No_hay,Hay_general_buen_estado, , ,Bueno,Si,No,No,No,No,No,No,No,No,No,No,"Estrato_bajo_20cm_aprox,Estrato_medio_arbusto_arboles_20cm_a_1_5,Estrato_alto_arbol_m�s_5m",Bueno,06-02-2019,100.00,75.00,12.50,100.00,20.00,55.88,RANGO INFERIOR
19895,45763,1101,DE TARAPAC�,IQUIQUE,IQUIQUE,11011,IQUIQUE,PLAZA, ,INTERIOR CONDOMINIO,"2,365.8",PRIVADO,110110008,RA O FI, ,COMUNAL,No_visitado,SIN INFORMACI�N,S/I,S/I,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N,SIN INFORMACI�N, ,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,SIN INFORMACI�N
7748,45767,1101,DE TARAPAC�,IQUIQUE,IQUIQUE,11011,IQUIQUE,PLAZA, , ,559.4,P�BLICO,110110012,RA O FI, ,COMUNAL,Area_Verde_Habilitada,Con_cierre_perim_gratuito,0,0,No_hay,No_hay,No_hay,No_hay,Hay_general_buen_estado,No_hay,Hay_general_buen_estado,No_hay,No_hay,No_hay,No_hay,Hay_general_buen_estado,No_hay,No_hay,Hay_general_buen_estado,No_hay,Hay_general_estado_regular, , ,Bueno,No,No,Si,Si,No,Si,No,No,No,No,No,"Estrato_medio_arbusto_arboles_20cm_a_1_5,Estrato_medio_alto_Arbusto_alto_arbol_bajo_1_5m_a_5m",Bueno,14-02-2019,98.50,50.00,22.50,100.00,61.67,60.08,RANGO INTERMEDIO
7749,45768,1101,DE TARAPAC�,IQUIQUE,IQUIQUE,11011,IQUIQUE,PLAZA,MIRADOR, ,"5,106.7",P�BLICO,110110013,RA O FI, ,COMUNAL,Area_Verde_Habilitada,Sin_cierre_perimetral,0,0,Hay_general_buen_estado,No_hay,No_hay,No_hay,Hay_general_buen_estado,No_hay,Hay_general_buen_estado,No_hay,Hay_general_buen_estado,Hay_general_buen_estado,No_hay,Hay_general_buen_estado,No_hay,No_hay,Hay_general_buen_estado,No_hay,Hay_general_buen_estado,sede social,Hay_general_buen_estado,Bueno,No,No,Si,Si,No,Si,No,Si,Si,No,No,"Estrato_bajo_20cm_aprox,Estrato_medio_alto_Arbusto_alto_arbol_bajo_1_5m_a_5m,Estrato_alto_arbol_m�s_5m",Bueno,14-02-2019,100.00,75.00,65.00,100.00,85.00,82.00,RANGO SUPERIOR
7750,45769,1101,DE TARAPAC�,IQUIQUE,IQUIQUE,11011,IQUIQUE,PLAZA,SAN CARLOS, ,"2,890.8",P�BLICO,110110014,RA O FI, ,COMUNAL,Area_Verde_Habilitada,Con_cierre_perim_gratuito,0,0,No_hay,No_hay,No_hay,No_hay,Hay_general_buen_estado,No_hay,Hay_general_buen_estado,No_hay,No_hay,Hay_general_estado_regular,No_hay,Hay_general_estado_regular,No_hay,No_hay,Hay_general_buen_estado,No_hay,Hay_general_estado_regular, , ,Bueno,No,No,Si,Si,No,Si,No,No,Si,No,No,"Estrato_bajo_20cm_aprox,Estrato_medio_arbusto_arboles_20cm_a_1_5,Estrato_medio_alto_Arbusto_alto_arbol_bajo_1_5m_a_5m,Estrato_alto_arbol_m�s_5m",Bueno,14-02-2019,96.40,100.00,52.50,100.00,63.33,79.89,RANGO SUPERIOR
7751,45770,1101,DE TARAPAC�,IQUIQUE,IQUIQUE,11011,IQUIQUE,PLAZA,SAN LORENZO, ,"2,694.6",P�BLICO,110110015,RA O FI, ,COMUNAL,Area_Verde_Habilitada,Sin_cierre_perimetral,0,0,Hay_general_buen_estado,No_hay,No_hay,No_hay,Hay_general_buen_estado,No_hay,Hay_general_buen_estado,No_hay,No_hay,No_hay,No_hay,Hay_general_estado_regular,No_hay,No_hay,Hay_general_estado_regular,No_hay,Hay_general_buen_estado, , ,Regular,Si,No,Si,Si,Si,Si,No,Si,Si,No,No,"Estrato_bajo_20cm_aprox,Estrato_medio_alto_Arbusto_alto_arbol_bajo_1_5m_a_5m,Estrato_alto_arbol_m�s_5m",Bueno,14-02-2019,78.80,75.00,90.00,80.00,81.67,81.28,RANGO SUPERIOR
7752,45771,1101,DE TARAPAC�,IQUIQUE,IQUIQUE,11011,IQUIQUE,PLAZA,ARICA, ,"2,490.2",P�BLICO,110110016,RA O FI, ,COMUNAL,Area_Verde_Habilitada,Sin_cierre_perimetral,0,0,No_hay,No_hay,No_hay,No_hay,Hay_general_buen_estado,Hay_general_estado_regular,No_hay,No_hay,Hay_general_estado_regular,Hay_general_buen_estado,No_hay,Hay_general_buen_estado,No_hay,No_hay,Hay_general_buen_estado,No_hay,Hay_general_estado_regular,museo,Hay_general_buen_estado,Bueno,No,No,Si,No,No,Si,No,No,No,No,No,"Estrato_bajo_20cm_aprox,Estrato_alto_arbol_m�s_5m",Regular,14-02-2019,79.00,50.00,10.00,100.00,65.00,52.75,RANGO INFERIOR
7753,45787,1101,DE TARAPAC�,IQUIQUE,IQUIQUE,11011,IQUIQUE,PLAZA, , ,"3,883.2",P�BLICO,110110033,RA O FI, ,COMUNAL,Area_Verde_Habilitada,Sin_cierre_perimetral,0,0,No_hay,No_hay,No_hay,No_hay,Hay_general_estado_regular,No_hay,Hay_general_buen_estado,No_hay,No_hay,No_hay,No_hay,No_hay,No_hay,No_hay,Hay_general_buen_estado,No_hay,Hay_mayoria_mal_estado,vivienda,Hay_general_estado_regular,Bueno,No,No,Si,Si,No,No,No,No,No,Si,No,"Estrato_bajo_20cm_aprox,Estrato_medio_arbusto_arboles_20cm_a_1_5,Estrato_medio_alto_Arbusto_alto_arbol_bajo_1_5m_a_5m,Estrato_alto_arbol_m�s_5m",Regular,13-02-2019,76.50,100.00,12.50,50.00,41.67,58.08,RANGO INFERIOR
