OBJECTID;TARGET_FID;CUT;REGION;PROVINCIA;COMUNA;COD_URBANO_CENSO;URBANO_CENSO;TIPO_EP;NOMBRE_EP;OBSERVACIONES;SUP_TOTAL_M2;USO;ID_TEXT;FUENTE;NOMBRE_MINVU;EXTENSION;Aplicabili;Cierres;Valor_pers;Valor_veh;Bancas_escanos;Maquinas_ejerc;Infraest_deportiva;Cancha_Skatepark;Basureros;Banos;Banos_accesibles;Luminarias;Limpieza;VentaConsum_drogas;Estratos_vegetacion;Estado_vegetacion;Fecha_encuesta;MG;VG;AU;SG;DE;CALIDAD;RANGO_CALIDAD;;N°;CAMPO;TIPO;DESCRIPCIÓN;DOMINIO;DESCRIPCIÓN DE LOS DOMINIOS
3393;31552;13101;METROPOLITANA DE SANTIAGO;SANTIAGO;SANTIAGO;131011;SANTIAGO;PARQUE;DE LOS REYES; ;122.907,4;PÚBLICO;1310110001;MINVU;PARQUE DE LOS REYES;INTERCOMUNAL;Area_Verde_Habilitada;Sin_cierre_perimetral;0;0;Hay_general_buen_estado;Hay_general_buen_estado;Hay_general_buen_estado;Hay_general_buen_estado;Hay_general_buen_estado;Hay_general_buen_estado;Hay_general_buen_estado;Hay_general_buen_estado;Bueno;No;Estrato_bajo_20cm_aprox,Estrato_medio_arbusto_arboles_20cm_a_1_5,Estrato_medio_alto_Arbusto_alto_arbol_bajo_1_5m_a_5m,Estrato_alto_arbol_más_5m;Bueno;01-02-2019;100,00;100,00;80,00;100,00;83,33;91,75;RANGO SUPERIOR;;1;OBJECTID;Número;Número correlativo de los registros de la base de datos.;;
17383;90140;13101;METROPOLITANA DE SANTIAGO;SANTIAGO;SANTIAGO;131011;SANTIAGO;PARQUE;DE LOS REYES; ;39.792,1;PÚBLICO;1310110001;MINVU;PARQUE DE LOS REYES;INTERCOMUNAL;Area_Verde_Habilitada;Sin_cierre_perimetral;0;0;Hay_general_buen_estado;No_hay;No_hay;No_hay;Hay_general_buen_estado;No_hay;No_hay;Hay_general_buen_estado;Bueno;No;Estrato_bajo_20cm_aprox,Estrato_medio_arbusto_arboles_20cm_a_1_5,Estrato_medio_alto_Arbusto_alto_arbol_bajo_1_5m_a_5m,Estrato_alto_arbol_más_5m;Bueno;12-02-2019;100,00;100,00;65,00;100,00;48,33;80,50;RANGO SUPERIOR;;2;TARGET_FID;Número;Número asignado en forma automática por el software a cada registro en la base de datos.;;
17384;90141;13101;METROPOLITANA DE SANTIAGO;SANTIAGO;SANTIAGO;131011;SANTIAGO;PARQUE;DE LOS REYES; ;1.745,8;PÚBLICO;1310110001;MINVU;PARQUE DE LOS REYES;INTERCOMUNAL;Area_Verde_Habilitada;Sin_cierre_perimetral;0;0;Hay_general_buen_estado;No_hay;No_hay;No_hay;No_hay;No_hay;No_hay;Hay_general_buen_estado;Bueno;No;Estrato_bajo_20cm_aprox,Estrato_medio_arbusto_arboles_20cm_a_1_5,Estrato_medio_alto_Arbusto_alto_arbol_bajo_1_5m_a_5m;Bueno;12-02-2019;100,00;75,00;42,50;50,00;33,33;60,81;RANGO INTERMEDIO;;3;CUT;Número;Código Único Territorial. Corresponde al código de la comuna.;;
2026;27739;13101;METROPOLITANA DE SANTIAGO;SANTIAGO;SANTIAGO;131011;SANTIAGO;PLAZA; ; ;779,5;PÚBLICO;1310110006;RA O FI; ;COMUNAL;Area_Verde_Habilitada;Sin_cierre_perimetral;0;0;Hay_general_buen_estado;Hay_general_buen_estado;No_hay;No_hay;Hay_general_buen_estado;No_hay;No_hay;Hay_general_buen_estado;Regular;No;Ninguno_anteriores;Regular;31-01-2019;62,00;0,00;35,00;100,00;61,67;41,58;RANGO INFERIOR;;4;REGION;Texto;Nombre de la región.;;
18402;27740;13101;METROPOLITANA DE SANTIAGO;SANTIAGO;SANTIAGO;131011;SANTIAGO;PLAZA; ; ;527,5;PÚBLICO;1310110007;RA O FI; ;COMUNAL;No_visitado;SIN INFORMACIÓN;S/I;S/I;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN; ;-1,00;-1,00;-1,00;-1,00;-1,00;-1,00;SIN INFORMACIÓN;;5;PROVINCIA;Texto;Nombre de la provincia.;;
2027;27744;13101;METROPOLITANA DE SANTIAGO;SANTIAGO;SANTIAGO;131011;SANTIAGO;PLAZA;ANDACOLLO; ;1.085,8;PÚBLICO;1310110011;RA O FI; ;COMUNAL;Area_Verde_Habilitada;Sin_cierre_perimetral;0;0;Hay_general_estado_regular;No_hay;No_hay;No_hay;Hay_general_buen_estado;No_hay;No_hay;Hay_general_buen_estado;Regular;No;Ninguno_anteriores;No_aplica;31-01-2019;31,00;0,00;70,00;100,00;60,00;42,25;RANGO INFERIOR;;6;COMUNA;Texto;Nombre de la comuna.;;
2028;27745;13101;METROPOLITANA DE SANTIAGO;SANTIAGO;SANTIAGO;131011;SANTIAGO;PLAZA;EUSEBIO LILLO; ;1.288,7;PÚBLICO;1310110012;RA O FI; ;COMUNAL;Area_Verde_Habilitada;Sin_cierre_perimetral;0;0;Hay_general_estado_regular;No_hay;No_hay;No_hay;Hay_general_buen_estado;No_hay;No_hay;Hay_general_buen_estado;Bueno;Si;Estrato_bajo_20cm_aprox;Regular;30-01-2019;80,00;25,00;57,50;50,00;60,00;55,13;RANGO INFERIOR;;7;COD_URBANO_CENSO;Número;Código del centro urbano.;;
2029;27748;13101;METROPOLITANA DE SANTIAGO;SANTIAGO;SANTIAGO;131011;SANTIAGO;PLAZA; ; ;1.189,5;PÚBLICO;1310110015;RA O FI; ;COMUNAL;Area_Verde_Habilitada;Con_cierre_perim_gratuito;0;0;Hay_general_estado_regular;No_hay;No_hay;No_hay;No_hay;No_hay;No_hay;Hay_general_buen_estado;Bueno;No;Estrato_bajo_20cm_aprox;Regular;30-01-2019;79,00;25,00;70,00;100,00;40,00;56,50;RANGO INFERIOR;;8;URBANO_CENSO;Texto;Nombre del centro urbano de Censo 2017.;;
2030;27751;13101;METROPOLITANA DE SANTIAGO;SANTIAGO;SANTIAGO;131011;SANTIAGO;PLAZA; ;GENERAL BULNES / HUÉRFANOS;767,7;PÚBLICO;1310110018;RA O FI; ;COMUNAL;Area_Verde_Habilitada;Sin_cierre_perimetral;0;0;No_hay;No_hay;No_hay;No_hay;No_hay;No_hay;No_hay;Hay_general_estado_regular;Regular;No;Estrato_medio_arbusto_arboles_20cm_a_1_5,Estrato_medio_alto_Arbusto_alto_arbol_bajo_1_5m_a_5m;Regular;30-01-2019;56,00;50,00;10,00;80,00;20,00;37,00;RANGO INFERIOR;;9;TIPO_EP;Texto;Tipo de espacio público.;PLAZA;Polígono de espacio público cuya área mide desde 450 m² y es menor a 20.000 m².
2031;27753;13101;METROPOLITANA DE SANTIAGO;SANTIAGO;SANTIAGO;131011;SANTIAGO;PLAZA;IRLANDA; ;945,1;PÚBLICO;1310110021;RA O FI; ;COMUNAL;Area_Verde_Habilitada;Sin_cierre_perimetral;0;0;Hay_general_estado_regular;No_hay;No_hay;No_hay;Hay_general_buen_estado;No_hay;No_hay;Hay_general_buen_estado;Bueno;Si;Estrato_alto_arbol_más_5m;Bueno;31-01-2019;98,50;25,00;70,00;50,00;80,00;66,88;RANGO INTERMEDIO;;;;;;PARQUE;Polígono de espacio público cuya área mide desde 20.000 m².
