COMUNA,CLASIFICACIÓN PNDR,VALOR DEL INDICADOR EN M2
RECOLETA,Urbana,"19,60"
VITACURA,Urbana,"19,13"
LA REINA,Urbana,"15,35"
PROVIDENCIA,Urbana,"14,97"
CERRILLOS,Urbana,"14,53"
LO BARNECHEA,Urbana,"14,30"
HUECHURABA,Urbana,"10,99"
COLINA,Urbana,"9,57"
PADRE HURTADO,Urbana,"8,26"
LA GRANJA,Urbana,"7,90"
TALAGANTE,Urbana,"7,50"
BUIN,Urbana,"7,36"
LAMPA,Urbana,"6,53"
LAS CONDES,Urbana,"6,29"
PEÑALOLÉN,Urbana,"6,25"
PEDRO AGUIRRE CERDA,Urbana,"5,99"
MAIPÚ,Urbana,"5,84"
LO ESPEJO,Urbana,"5,56"
CERRO NAVIA,Urbana,"5,53"
PEÑAFLOR,Urbana,"5,11"
RENCA,Urbana,"5,07"
MELIPILLA,Urbana,"5,05"
PUDAHUEL,Urbana,"5,04"
SAN RAMÓN,Urbana,"5,03"
SAN JOAQUÍN,Urbana,"5,02"
PUENTE ALTO,Urbana,"4,97"
SAN BERNARDO,Urbana,"4,45"
SANTIAGO,Urbana,"4,38"
QUILICURA,Urbana,"4,33"
LA FLORIDA,Urbana,"4,07"
QUINTA NORMAL,Urbana,"4,04"
MACUL,Urbana,"3,96"
LA PINTANA,Urbana,"3,83"
CONCHALÍ,Urbana,"3,71"
LO PRADO,Urbana,"3,48"
ESTACIÓN CENTRAL,Urbana,"3,21"
EL BOSQUE,Urbana,"2,49"
ÑUÑOA,Urbana,"2,15"
LA CISTERNA,Urbana,"1,60"
SAN MIGUEL,Urbana,"1,50"
INDEPENDENCIA,Urbana,"1,41"
