COMUNA,CLASIFICACIÓN PNDR,MEDICIÓN,VALOR DEL INDICADOR ,BRECHA
RECOLETA,Urbana,Línea base,"19,60",Sin estándar
VITACURA,Urbana,Línea base,"19,13",Sin estándar
LA REINA,Urbana,Línea base,"15,35",Sin estándar
PROVIDENCIA,Urbana,Línea base,"14,97",Sin estándar
CERRILLOS,Urbana,Línea base,"14,53",Sin estándar
LO BARNECHEA,Urbana,Línea base,"14,30",Sin estándar
HUECHURABA,Urbana,Línea base,"10,99",Sin estándar
COLINA,Urbana,Línea base,"9,57",Sin estándar
PADRE HURTADO,Urbana,Línea base,"8,26",Sin estándar
LA GRANJA,Urbana,Línea base,"7,90",Sin estándar
TALAGANTE,Urbana,Línea base,"7,50",Sin estándar
BUIN,Urbana,Línea base,"7,36",Sin estándar
ALHUÉ,Rural,Línea base,"6,55",Sin estándar
LAMPA,Urbana,Línea base,"6,53",Sin estándar
LAS CONDES,Urbana,Línea base,"6,29",Sin estándar
PEÑALOLÉN,Urbana,Línea base,"6,25",Sin estándar
PEDRO AGUIRRE CERDA,Urbana,Línea base,"5,99",Sin estándar
MAIPÚ,Urbana,Línea base,"5,84",Sin estándar
TILTIL,Rural,Línea base,"5,79",Sin estándar
LO ESPEJO,Urbana,Línea base,"5,56",Sin estándar
CERRO NAVIA,Urbana,Línea base,"5,53",Sin estándar
PEÑAFLOR,Urbana,Línea base,"5,11",Sin estándar
RENCA,Urbana,Línea base,"5,07",Sin estándar
MELIPILLA,Urbana,Línea base,"5,05",Sin estándar
PUDAHUEL,Urbana,Línea base,"5,04",Sin estándar
SAN RAMÓN,Urbana,Línea base,"5,03",Sin estándar
SAN JOAQUÍN,Urbana,Línea base,"5,02",Sin estándar
CURACAVÍ,Mixta,Línea base,"5,00",Sin estándar
PUENTE ALTO,Urbana,Línea base,"4,97",Sin estándar
PIRQUE,Rural,Línea base,"4,94",Sin estándar
SAN BERNARDO,Urbana,Línea base,"4,45",Sin estándar
SANTIAGO,Urbana,Línea base,"4,38",Sin estándar
QUILICURA,Urbana,Línea base,"4,33",Sin estándar
SAN JOSÉ DE MAIPO,Rural,Línea base,"4,18",Sin estándar
LA FLORIDA,Urbana,Línea base,"4,07",Sin estándar
QUINTA NORMAL,Urbana,Línea base,"4,04",Sin estándar
MACUL,Urbana,Línea base,"3,96",Sin estándar
ISLA DE MAIPO,Mixta,Línea base,"3,90",Sin estándar
EL MONTE,Mixta,Línea base,"3,84",Sin estándar
LA PINTANA,Urbana,Línea base,"3,83",Sin estándar
PAINE,Mixta,Línea base,"3,81",Sin estándar
CONCHALÍ,Urbana,Línea base,"3,71",Sin estándar
CALERA DE TANGO,Mixta,Línea base,"3,63",Sin estándar
LO PRADO,Urbana,Línea base,"3,48",Sin estándar
MARÍA PINTO,Rural,Línea base,"3,32",Sin estándar
ESTACIÓN CENTRAL,Urbana,Línea base,"3,21",Sin estándar
EL BOSQUE,Urbana,Línea base,"2,49",Sin estándar
ÑUÑOA,Urbana,Línea base,"2,15",Sin estándar
LA CISTERNA,Urbana,Línea base,"1,60",Sin estándar
SAN MIGUEL,Urbana,Línea base,"1,50",Sin estándar
INDEPENDENCIA,Urbana,Línea base,"1,41",Sin estándar
